varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30610	Continuous	327599	-0.0325609508630944	-0.0359158690911218	-0.029206032635067	1.23072396574415e-80	LINEAR	Alkaline phosphatase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
2887	Integer	79869	0.107002497450812	0.0934049869257666	0.120600007975858	1.35404253174695e-53	ORDERED-LOGISTIC	Number of cigarettes previously smoked daily		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3456	Integer	23682	0.140074785999418	0.116870253199382	0.163279318799454	3.30346220267605e-32	ORDERED-LOGISTIC	Number of cigarettes currently smoked daily (current cigarette smokers)		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20116	Categorical single	187078/342474	-999	-999	-999	2.75621564604273e-23	MULTINOMIAL-LOGISTIC	Smoking status		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
1239	Categorical single	343494	-0.0534161939855428	-0.0644422987392328	-0.0423900892318528	2.20992943219015e-21	ORDERED-LOGISTIC	Current tobacco smoking		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
30620	Continuous	327474	0.0124522113794766	0.00922762718409656	0.0156767955748567	3.77896727605128e-14	LINEAR	Alanine aminotransferase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
20652	Categorical single	129861	0.0283749820836732	0.0187628782266343	0.0379870859407121	7.22769790183511e-09	ORDERED-LOGISTIC	Liking for dark chocolate		1039	Online follow-up		Food (and other) preferences		Food (and other) preferences	1039	Online follow-up > Food (and other) preferences
1498	Integer	318740	0.0185475162342682	0.012084851344758	0.0250101811237785	1.85556020190228e-08	ORDERED-LOGISTIC	Coffee intake		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100052	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
1807	Integer	253517	-0.0103864444536209	-0.014227066000239	-0.0065458229070028	1.15592140905201e-07	LINEAR	Father's age at death		100000	UK Biobank Assessment Centre	100025	Touchscreen	100034	Family history	100034	UK Biobank Assessment Centre > Touchscreen > Family history
30150	Continuous	332855	-0.0171117183385803	-0.023461614694792	-0.0107618219823687	1.27991492675303e-07	ORDERED-LOGISTIC	Eosinophill count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
