varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
2887	Integer	79869	0.107002497450812	0.0934049869257666	0.120600007975858	1.35404253174695e-53	ORDERED-LOGISTIC	Number of cigarettes previously smoked daily		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3456	Integer	23682	0.140074785999418	0.116870253199382	0.163279318799454	3.30346220267605e-32	ORDERED-LOGISTIC	Number of cigarettes currently smoked daily (current cigarette smokers)		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
30610	Continuous	105203	-0.0333571772887272	-0.0393047800576966	-0.0274095745197578	4.29683538913266e-28	LINEAR	Alkaline phosphatase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
1239	Categorical single	110320	-0.0725790747610236	-0.0860282222954922	-0.0591299272265549	3.91071939171714e-26	ORDERED-LOGISTIC	Current tobacco smoking		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20116	Categorical single	81179/110320	-999	-999	-999	2.84790901216097e-25	MULTINOMIAL-LOGISTIC	Smoking status		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20256	Continuous	88174	0.0263339195199722	0.0197766605760492	0.0328911784638953	3.54899324064837e-15	LINEAR	Forced expiratory volume in 1-second (FEV1) Z-score		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20154	Continuous	33895	-0.0357689205972446	-0.0462715081156109	-0.0252663330788783	2.50466702364472e-11	LINEAR	"Forced expiratory volume in 1-second (FEV1), predicted percentage"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20150	Continuous	84005	-0.0173622165440149	-0.0224623983080986	-0.0122620347799312	2.5342619856436e-11	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
3063	Continuous	98449	-0.0156590722078612	-0.0204381890196245	-0.010879955396098	1.350857019766e-10	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20257	Continuous	88174	0.0204563599889446	0.0139035436578097	0.0270091763200795	9.47770540279167e-10	LINEAR	Forced vital capacity (FVC) Z-score		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20258	Continuous	88174	0.018555616072241	0.0120130493264823	0.0250981828179997	2.72414767276966e-08	LINEAR	FEV1/ FVC ratio Z-score		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
20151	Continuous	84005	-0.0124292531714378	-0.0172902368484882	-0.00756826949438727	5.40925377443703e-07	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
2897	Integer	84096	-0.015593676826687	-0.0221192125039776	-0.00906814114939649	2.82216963864297e-06	LINEAR	Age stopped smoking		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20003#1140861958	Categorical multiple	93474/16863(110337)	0.0403411709442261	0.0233412308937817	0.0573832521357145	3.39511055188882e-06	LOGISTIC-BINARY	Treatment/medication code: simvastatin		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
1180	Categorical single	99246	-0.0264730597035382	-0.0376783824564073	-0.015267736950669	3.65095770935367e-06	ORDERED-LOGISTIC	Morning/evening person (chronotype)		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100057	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
6149#6	Categorical multiple	82017/27987(110004)	0.033190236462801	0.0189799262604288	0.0474213284986676	4.77228472066325e-06	LOGISTIC-BINARY	Mouth/teeth dental problems: Dentures		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100046	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Mouth
3506	Categorical single	25781	-0.049364125970532	-0.0717170019593538	-0.0270112499817101	1.50716569452409e-05	ORDERED-LOGISTIC	Smoking compared to 10 years previous		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
3062	Continuous	98449	-0.010140202786201	-0.0147411549152461	-0.00553925065715582	1.56402875355971e-05	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
41272#G725	Categorical multiple	110332/16(110348)	-0.835138760558334	-1.22035568088979	-0.433273594992773	2.90162527101347e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: G72.5 Anastomosis of ileum to anus and creation of pouch HFQ		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
1408	Categorical single	107657	-0.0232811177195808	-0.0342264564731918	-0.0123357789659697	3.06193452363455e-05	ORDERED-LOGISTIC	Cheese intake		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100052	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
23007	Integer	2110	-0.0877525116015584	-0.12924525792393	-0.0462597652791863	3.49531976830314e-05	LINEAR	pp150 Nter antigen for Human Cytomegalovirus		100078	Biological samples	100079	Assay results	100080	Blood assays	1307	Biological samples > Assay results > Blood assays > Infectious Diseases > Infectious Disease Antigens
20641	Categorical single	36430	-0.0563450949035473	-0.0830585429610062	-0.0296316468460883	3.57127005878624e-05	ORDERED-LOGISTIC	Liking for cigarette smoking		1039	Online follow-up		Food (and other) preferences		Food (and other) preferences	1039	Online follow-up > Food (and other) preferences
41210#G725	Categorical multiple	110337/11(110348)	-0.975613341572162	-1.43456311239463	-0.501466958307581	3.62212842857184e-05	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: G72.5 Anastomosis of ileum to anus and creation of pouch HFQ		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
1980	Categorical single	47547/60068(107615)	-0.0255739863313858	-0.037717422988674	-0.0134360509386294	3.64906779709009e-05	LOGISTIC-BINARY	Worrier / anxious feelings		100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	100060	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
30710	Continuous	104937	0.0123388437447531	0.00635581779649136	0.0183218696930149	5.30131639635603e-05	LINEAR	C-reactive protein		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30620	Continuous	105149	0.0116799804430909	0.00598230956219163	0.0173776513239901	5.87628628246578e-05	LINEAR	Alanine aminotransferase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
20004#1102	Categorical multiple	110173/164(110337)	0.343495779078189	0.17563088302466	0.517810139306608	8.2708346323762e-05	LOGISTIC-BINARY	Operation code: fem-pop bypass/leg artery bypass		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
41272#L601	Categorical multiple	110126/222(110348)	0.289845129226403	0.14740811096248	0.436907359043517	8.65088303501192e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: L60.1 Endarterectomy of femoral artery and patch repair of femoral artery		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
26536	Continuous	7937	-0.0414967725262939	-0.0622119882315813	-0.0207815568210065	8.68118161457111e-05	LINEAR	Volume-ratio of BrainSegVol-to-eTIV (whole brain)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	190	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer ASEG
30700	Continuous	105148	-0.00981893590078602	-0.0147386271774297	-0.00489924462414231	9.16579775943256e-05	LINEAR	Creatinine		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
709	Integer	109612	-0.0223474355328696	-0.0336831208599173	-0.0110117502058219	0.000111614004547752	ORDERED-LOGISTIC	Number in household		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100066	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
30530	Continuous	106712	-0.0113925416435165	-0.0171747712320361	-0.00561031205499689	0.00011266807524606	LINEAR	Sodium in urine		100078	Biological samples	100079	Assay results	100083	Urine assays	100083	Biological samples > Assay results > Urine assays
20107#2	Categorical single	78682/14695(93377)	-0.0343043346737475	-0.0517227455997305	-0.0168439398936398	0.000115530664514206	LOGISTIC-BINARY	Illnesses of father		100000	UK Biobank Assessment Centre	100025	Touchscreen	100034	Family history	100034	UK Biobank Assessment Centre > Touchscreen > Family history
1807	Integer	85019	-0.0128670677776701	-0.0194878505438693	-0.0062462850114709	0.000139560919375438	LINEAR	Father's age at death		100000	UK Biobank Assessment Centre	100025	Touchscreen	100034	Family history	100034	UK Biobank Assessment Centre > Touchscreen > Family history
41200#V509	Categorical multiple	110310/38(110348)	0.799203244518971	0.403866048934379	1.23045161058926	0.000147948893656917	LOGISTIC-BINARY	Operative procedures - main OPCS4: V50.9 Unspecified manipulation of spine		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
3137	Integer	98449	-0.0267974433803657	-0.0406455341965099	-0.0129493525642216	0.000149049237606052	ORDERED-LOGISTIC	Number of measurements made		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
1970	Categorical single	83261/24428(107689)	-0.0273661809483457	-0.041557155223338	-0.0131537870018563	0.000158836531733541	LOGISTIC-BINARY	Nervous feelings		100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	100060	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health
2907	Categorical single	47402/35770(83172)	0.0264968236465656	0.0126538731852984	0.0403483409742969	0.000176511113665217	LOGISTIC-BINARY	Ever stopped smoking for 6+ months		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
1349	Categorical single	110189	-0.020321899769941	-0.031014963564862	-0.00962883597501997	0.00019546613613603	ORDERED-LOGISTIC	Processed meat intake		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100052	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
41200#L601	Categorical multiple	110164/184(110348)	0.302135639095646	0.145370533123027	0.464518076267354	0.000205534648045424	LOGISTIC-BINARY	Operative procedures - main OPCS4: L60.1 Endarterectomy of femoral artery and patch repair of femoral artery		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#Z388	Categorical multiple	110239/109(110348)	0.401615858317066	0.192892892186749	0.620467844995377	0.000229833212699251	LOGISTIC-BINARY	Operative procedures - OPCS4: Z38.8 Specified terminal branch of aorta NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#Z388	Categorical multiple	110239/109(110348)	0.401615858317066	0.192892892186749	0.620467844995377	0.000229833212699251	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Z38.8 Specified terminal branch of aorta NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22508	Integer	1724	0.0826592472888257	0.038441854342434	0.126876640235218	0.000253390610023822	LINEAR	Amount of tobacco currently smoked		100089	Online follow-up	123	Work environment	132	Medical information	132	Online follow-up > Work environment > Medical information
