varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30610	Continuous	129478	-0.0320842794330784	-0.0373925899459702	-0.0267759689201867	2.33331329199273e-32	LINEAR	Alkaline phosphatase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30620	Continuous	129445	0.015806884500257	0.0106844747741365	0.0209292942263775	1.46898278310735e-09	LINEAR	Alanine aminotransferase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30660	Continuous	110316	-0.0120353611202797	-0.0176850201524642	-0.00638570208809513	2.97795831193753e-05	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
1807	Integer	98165	-0.0125627771337367	-0.0187093691122018	-0.00641618515527162	6.18161372712149e-05	LINEAR	Father's age at death		100000	UK Biobank Assessment Centre	100025	Touchscreen	100034	Family history	100034	UK Biobank Assessment Centre > Touchscreen > Family history
23462	Continuous	32697	-0.0207440777260164	-0.0310298123870793	-0.0104583430649536	7.73510255152121e-05	LINEAR	Glycine		220	Biological samples		Blood assays		Blood assays	220	Biological samples > Blood assays > NMR metabolomics
30750	Continuous	129415	0.0104337794857354	0.00523941312303398	0.0156281458484368	8.25627942180823e-05	LINEAR	Glycated haemoglobin (HbA1c)		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30700	Continuous	129423	-0.00867544066687324	-0.0130029396762367	-0.00434794165750977	8.52648727242367e-05	LINEAR	Creatinine		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41210#T253	Categorical multiple	135845/45(135890)	-0.483990238479186	-0.730352436406904	-0.226178841858308	0.000163986891435231	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: T25.3 Primary repair of incisional hernia using sutures		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#M706	Categorical multiple	135787/103(135890)	-0.33333943624246	-0.50502567963303	-0.155794262654989	0.000181050264046362	LOGISTIC-BINARY	Operative procedures - main OPCS4: M70.6 Radioactive seed implantation into prostate		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#N304	Categorical multiple	135866/24(135890)	-0.614780690563311	-0.938026065345464	-0.272917924702677	0.000278699825799264	LOGISTIC-BINARY	Operative procedures - OPCS4: N30.4 Dorsal slit of prepuce		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20652	Categorical single	53037	0.0276876333334775	0.012669800079721	0.042705466587234	0.000302306899498306	ORDERED-LOGISTIC	Liking for dark chocolate		1039	Online follow-up		Food (and other) preferences		Food (and other) preferences	1039	Online follow-up > Food (and other) preferences
41200#332	Categorical multiple	135000/890(135890)	0.125434092033091	0.0571594570271954	0.194744130057157	0.000351538449620235	LOGISTIC-BINARY	Operative procedures - main OPCS4		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
90032	Continuous	29265	0.0205670643719569	0.00921845885801921	0.0319156698858946	0.00038264328303474	LINEAR	Average acceleration 05:00 - 05:59		100088	Additional exposures	1008	Physical activity measurement	1009	Acceleration averages	1009	Additional exposures > Physical activity measurement > Acceleration averages
23544	Continuous	32721	0.0194601152246825	0.00867002668108106	0.0302502037682839	0.000408399228686009	LINEAR	Concentration of Small LDL Particles		220	Biological samples		Blood assays		Blood assays	220	Biological samples > Blood assays > NMR metabolomics
23443	Continuous	32697	-0.0186671380337923	-0.0290728266018963	-0.00826144946568827	0.000438397157847141	LINEAR	Degree of Unsaturation		220	Biological samples		Blood assays		Blood assays	220	Biological samples > Blood assays > NMR metabolomics
20089#461	Categorical multiple	18524/689(19213)	-0.130442154488789	-0.202746021895132	-0.0571424813024334	0.00044407982280148	LOGISTIC-BINARY	Type of meals eaten: Takeaway meals		100089	Online follow-up	100090	Diet by 24-hour recall	100105	Meal type yesterday	100105	Online follow-up > Diet by 24-hour recall > Meal type yesterday
41272#332	Categorical multiple	134849/1041(135890)	0.113233026546982	0.0502677640538608	0.177073619857283	0.000464245586886655	LOGISTIC-BINARY	Operative procedures - OPCS4		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
23441	Continuous	32721	0.0189687622124138	0.00834790184323125	0.0295896225815964	0.00046481639147807	LINEAR	Apolipoprotein B to Apolipoprotein A1 ratio		220	Biological samples		Blood assays		Blood assays	220	Biological samples > Blood assays > NMR metabolomics
23543	Continuous	32721	0.0188010456206675	0.00816223319091024	0.0294398580504247	0.000533280675389198	LINEAR	Triglycerides in Medium LDL		220	Biological samples		Blood assays		Blood assays	220	Biological samples > Blood assays > NMR metabolomics
30530	Continuous	131732	-0.00908864096611924	-0.0142670205699322	-0.00391026136230626	0.000581916382107048	LINEAR	Sodium in urine		100078	Biological samples	100079	Assay results	100083	Urine assays	100083	Biological samples > Assay results > Urine assays
27412	Continuous	13228	-0.0294625872278968	-0.0462738779586381	-0.0126512964971554	0.000593838085279367	LINEAR	Mean thickness of G-cingul-Post-ventral (left hemisphere)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	197	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer a2009s
1498	Integer	125902	0.0179707114169757	0.00770423543413047	0.028237187399821	0.000601917501348182	ORDERED-LOGISTIC	Coffee intake		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100052	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
41272#P273	Categorical multiple	135182/708(135890)	0.135040207994259	0.0583371703032201	0.213045418986668	0.000621788052440563	LOGISTIC-BINARY	Operative procedures - OPCS4: P27.3 Colposcopy of vagina		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
21043	Integer	49930	0.0283912119582109	0.0121174599246614	0.0446649639917604	0.000628051843026382	ORDERED-LOGISTIC	Least number of times bowels opened per week		100089	Online follow-up	153	Digestive health	153	Digestive health	153	Online follow-up > Digestive health
20003#1140869604	Categorical multiple	135854/14(135868)	-0.746007372707111	-1.16452615816597	-0.304451950427841	0.000628413464611933	LOGISTIC-BINARY	Treatment/medication code: cyclophosphamide		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
41272#M706	Categorical multiple	135762/128(135890)	-0.275748140916104	-0.432549758321137	-0.113943966701564	0.000687613717970627	LOGISTIC-BINARY	Operative procedures - OPCS4: M70.6 Radioactive seed implantation into prostate		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
